PCS ID,ACM ID,DOI,ACM DL URL,YT ID,YT URL,YT tags,YT playlists,YT privacy,YT embed code,Title,Authors,Abstract,Early Release
alt100,2732496,http://dx.doi.org/10.1145/2702613.2732496,http://dl.acm.org/citation.cfm?id=2732496,Rj6l7MqyjNA,www.youtube.com/watch?v=Rj6l7MqyjNA,CHI 2015;CHI 2015 alt.CHI,CHI 2015 Video Previews;CHI 2015 Monday Video Previews,private,<iframe type='text/html' src='http://www.youtube.com/embed/Rj6l7MqyjNA' width='640' height='360' frameborder='0' allowfullscreen='true'/>,"""I Woke Up as a Newspaper"": Designing-in Interaction Analytics","Michael Evans, Lianne Kerlin, Caroline Jay","Spending the day as a newspaper, with your faculties and HCI curiosity intact, would allow rich observation of the interaction process: the reader’s touch, gaze, expression... all relating valuable information about the user experience. Digital devices – unlike newspapers – have the capacity to log interaction data. We are still some way from fully exploiting it however, due to the data’s size and complexity. Rather than simply logging data and trying to make sense of it, we suggest designing-in detailed UX-analytics. We report our experience challenging interaction designers to consider what they would like to know about the user, and how they could capture this data – from the starting point of a sentient newspaper.",TRUE
alt107,2732497,http://dx.doi.org/10.1145/2702613.2732497,http://dl.acm.org/citation.cfm?id=2732497,y-RMpTCMps8,www.youtube.com/watch?v=y-RMpTCMps8,CHI 2015;CHI 2015 alt.CHI,CHI 2015 Video Previews;CHI 2015 Thursday Video Previews,private,<iframe type='text/html' src='http://www.youtube.com/embed/y-RMpTCMps8' width='640' height='360' frameborder='0' allowfullscreen='true'/>,Being Reasonable: A Manifesto for Improving the Inclusion of Disabled People in SIGCHI Conferences,"Reuben Kirkham, John Vines, Patrick Olivier","Participation levels of people with disabilities in the SIGCHI community reflect a general inadequacy in how they are supported, and their interests promoted, within the ACM, the wider computing industry and academia itself. In response, we propose a manifesto for overhauling existing SIGCHI practices to increase the opportunities for including a wide range of disabled people in our research community through dissemination venues such as CHI. We set out the moral case for change, before providing a summary of UK disability discrimination law which we use identify sources of direct and indirect discrimination. Our goal has been to go beyond just accessibility: instead we emphasize disability inclusion in a much broader sense, and articulate a range of steps that can be conducted in order to meet this. ",TRUE
alt129,2732501,http://dx.doi.org/10.1145/2702613.2732501,http://dl.acm.org/citation.cfm?id=2732501,2fu-FNcHMUM,www.youtube.com/watch?v=2fu-FNcHMUM,CHI 2015;CHI 2015 alt.CHI,CHI 2015 Video Previews;CHI 2015 Monday Video Previews,private,<iframe type='text/html' src='http://www.youtube.com/embed/2fu-FNcHMUM' width='640' height='360' frameborder='0' allowfullscreen='true'/>,Your Paper is Dead! Bringing Life to Research Articles with Animated Figures,"Tovi Grossman, Fanny Chevalier, Rubaiat Habib Kazi","The dissemination of scientific knowledge has evolved over the centuries from handwritten manuscripts transcribed and published as physical black and white prints-on-paper, to digital documents in full color available for consultation online. Even if it now primarily relies on digital media, academic publishing still generally adheres to its historical rigid paper-based style—where static content is presented at the ready-to-print letter format. In this paper, we reflect on our experience of authoring a published academic article that embeds an animated figure and discuss the opportunities and caveats of transitioning to such practice at the wider academic literature scale.",TRUE
alt130,2732502,http://dx.doi.org/10.1145/2702613.2732502,http://dl.acm.org/citation.cfm?id=2732502,gR1klXKbpQQ,www.youtube.com/watch?v=gR1klXKbpQQ,CHI 2015;CHI 2015 alt.CHI,CHI 2015 Video Previews;CHI 2015 Thursday Video Previews,private,<iframe type='text/html' src='http://www.youtube.com/embed/gR1klXKbpQQ' width='640' height='360' frameborder='0' allowfullscreen='true'/>,Communication in the Changing Dyadic Interaction of Diverse Players,"Mark Rice, Hong Huei Tay, Jamie Ng, Ranieri Koh","In this paper, we present the findings of a two month exploratory game study in which we compared the verbal and non-verbal communication practices of two independent groups of older adults. Among other factors, these groups differed in their education, technology literacy and physical functioning. Through observational measurements, we outline significant differences and trends in players’ paired interaction, which progressively changed through prolonged exposure to the game. By comparing player performance both within and between groups, we raise questions and provide some insights as to how differences in the backgrounds of older players can influence dyadic interaction in collocated play.",TRUE
alt136,2732504,http://dx.doi.org/10.1145/2702613.2732504,http://dl.acm.org/citation.cfm?id=2732504,uZDukdqd0go,www.youtube.com/watch?v=uZDukdqd0go,CHI 2015;CHI 2015 alt.CHI,CHI 2015 Video Previews;CHI 2015 Monday Video Previews,private,<iframe type='text/html' src='http://www.youtube.com/embed/uZDukdqd0go' width='640' height='360' frameborder='0' allowfullscreen='true'/>,Consider the Moon. Human-Computer Bricolage of Extended Objects,"Cosima Rughinis, Razvan Rughinis","Our minds are extended through tools – from pencils on paper to clocks and computers. 'Extended minds' have gained acclaim in digital times, but have also stirred fear: do objects become smarter at our expense? We propose a new approach to help cultivate auspicious cognitive relationships with things: the 'extended object'. If our thoughts are extended through things, things can be symmetrically and methodically extended through our thoughts – in conversation, and in time. Let us consider the Moon: Can it colonize us?",TRUE
alt140,2732506,http://dx.doi.org/10.1145/2702613.2732506,http://dl.acm.org/citation.cfm?id=2732506,lz6-OaCk35w,www.youtube.com/watch?v=lz6-OaCk35w,CHI 2015;CHI 2015 alt.CHI,CHI 2015 Video Previews;CHI 2015 Monday Video Previews,private,<iframe type='text/html' src='http://www.youtube.com/embed/lz6-OaCk35w' width='640' height='360' frameborder='0' allowfullscreen='true'/>,ChameleonMask: Embodied Physical and Social Telepresence using human surrogates,"Kana Misawa, Jun Rekimoto","Chameleonmask is a telepresence system that shows a remote user’s face on the other user’s face. While most telepresence systems have been designed to provide a remote user’s existence with a teleoperated robot, the system uses a real human as a surrogate for another remote user. To do this, a surrogate user wears a mask-shaped display that shows a remote user’s live face, and a voice channel transmits a remote user’s voice. A surrogate user mimics a remote user by following the remote user’s directions. This design is based on our hypothesis assuming physical and social telepresence can be embodied by such a surrogate human who imitates the remote user. It also eliminates many difficulties of teleoperated robots wandering in the environment. Our pilot study confirmed that people could regard the masked person as a right person.",TRUE
alt142,2732507,http://dx.doi.org/10.1145/2702613.2732507,http://dl.acm.org/citation.cfm?id=2732507,_Y8MVfoiFQw,www.youtube.com/watch?v=_Y8MVfoiFQw,CHI 2015;CHI 2015 alt.CHI,CHI 2015 Video Previews;CHI 2015 Wednesday Video Previews,private,<iframe type='text/html' src='http://www.youtube.com/embed/_Y8MVfoiFQw' width='640' height='360' frameborder='0' allowfullscreen='true'/>,Reimagining Digital Fabrication as Performance Art,"Laura Devendorf, Daniela K Rosner","Within the HCI literature to date, digital fabrication systems are often oriented towards pre-determined goals and discussed in terms of the meaning of objects produced rather than the meanings of actions from which those object emerged. This paper draws from contemporary performance art to inform fabrication system designs that frame meaningful actions as the primary product of fabrication activity. In doing so, we open up new generative ideas for HCI theory and practice, specifically in relation to posthumanist and research through design agendas.",TRUE
alt149,2732508,http://dx.doi.org/10.1145/2702613.2732508,http://dl.acm.org/citation.cfm?id=2732508,YIzJ1Q9e2NA,www.youtube.com/watch?v=YIzJ1Q9e2NA,CHI 2015;CHI 2015 alt.CHI,CHI 2015 Video Previews;CHI 2015 Monday Video Previews,private,<iframe type='text/html' src='http://www.youtube.com/embed/YIzJ1Q9e2NA' width='640' height='360' frameborder='0' allowfullscreen='true'/>,The Broken Dream of Pervasive Sentient Ambient Calm Invisible Ubiquitous Computing,"Matthew P. Aylett, Aaron Quigley","We dreamt of technology becoming invisible, for our wants and needs to be primary and the tools we use for making them a reality to become like a genie, a snap of the fingers and ta daa, everything is realised. What went wrong? Was this always an impossible dream? How did we end up with this fetishised obsession with mobile phones? How did we end up with technology tearing apart our sense of experience and replacing it with 'Likes'. No one meant this to happen, not even US Corporates, they just wanted to own us, not diminish our sense of existing and interacting within the real world. In this paper we consider how tools took over, and how the dream of ubiquitous (or whatever its called) computing was destroyed. We rally rebellious forces and consider how we might fight back, and whether we should even bother trying.",TRUE
alt151,2732509,http://dx.doi.org/10.1145/2702613.2732509,http://dl.acm.org/citation.cfm?id=2732509,OpHJVqhTmhg,www.youtube.com/watch?v=OpHJVqhTmhg,CHI 2015;CHI 2015 alt.CHI,CHI 2015 Video Previews;CHI 2015 Monday Video Previews,private,<iframe type='text/html' src='http://www.youtube.com/embed/OpHJVqhTmhg' width='640' height='360' frameborder='0' allowfullscreen='true'/>,Emergent Interfaces: Constructive Assembly of Identical Units,"Alexandru Dancu, Stig Anton Nielsen, Kening Zhu, Ayça Ünlüer, Max Witt, Catherine Hedler, Hanna Frank, Axel Pelling, Christian Carlsson, Morten Fjeld","In this paper, we present five types of constructive assemblies that emerge through a form-finding process resembling growth. The synthetic growth is obtained through the assembly of identical blocks performed by two competing users. \ Each block type gives rise to different morphologies during each assembly session depending on the user and the environment that is augmented through projection on the synthetic structure and around it.  \ The digitally augmented tangible interface is evaluated by professionals and students in interaction design.  \ We introduce the concept of Emergent Interfaces (EI), which proposes harnessing non-determinism, temporal design, and self-organization. \ This work could contribute to organic user interfaces and morphogenetic engineering.",TRUE
alt153,2732511,http://dx.doi.org/10.1145/2702613.2732511,http://dl.acm.org/citation.cfm?id=2732511,K3MAv-rdrM0,www.youtube.com/watch?v=K3MAv-rdrM0,CHI 2015;CHI 2015 alt.CHI,CHI 2015 Video Previews;CHI 2015 Monday Video Previews,private,<iframe type='text/html' src='http://www.youtube.com/embed/K3MAv-rdrM0' width='640' height='360' frameborder='0' allowfullscreen='true'/>,A Formal Analysis of the ISO 9241-210 Definition of User Experience,"Alexander G Mirnig, Alexander Meschtscherjakov, Daniela Wurhofer, Thomas Meneweger, Manfred Tscheligi","User Experience (UX) is a major concept in HCI and a variety of different UX definitions have been suggested within the scientific community. An ISO UX definition has been presented to standardize the term from an industry perspective. We introduce methods from formal logic in order to formalize and analyze the ISO UX definition with regard to consistency and ambiguities and present recommendations for an improved version. Although this kind of formalization is not common within the CHI community, we show that quasi-formal methods provide an alternative way of analyzing widely discussed HCI terms, such as UX, to deepen its understanding.",TRUE
